SR_LifeEvent,LifeEventFinal,LifeEventFamily,LifeEventFamily2,Anticipation,Intimacy,Scope
"Became pregnant, birth of a first or later child; adopted a child",AdoptedChild,Personal,HavingChildren,Anticipated,2,2
Was working on an adoption,AdoptedChild,Personal,HavingChildren,Anticipated,2,2
Conflict with parents,ArgumentInFamily,Personal,Family,Unanticipated,3,2
Assaulted,Assaulted,Personal,CrimeAndLegal,Unanticipated,3,3
assaulted,Assaulted,Personal,CrimeAndLegal,Unanticipated,3,3
Accepted to Business School,BackToSchool,School,School,Anticipated,1,2
College Class/Exam,BackToSchool,School,School,Anticipated,1,2
Graduate level class,BackToSchool,School,School,Anticipated,1,2
Graduate-level PhD class,BackToSchool,School,School,Anticipated,1,2
kids back in school,BackToSchool,School,School,Anticipated,1,2
night classes,BackToSchool,School,School,Anticipated,1,2
Started Grad School,BackToSchool,School,School,Anticipated,1,2
Started taking acting classes,BackToSchool,School,School,Anticipated,1,2
Took a certification exam to further my nursing education,BackToSchool,School,School,Anticipated,1,2
Wife started grad school,BackToSchool,School,School,Anticipated,1,2
Daughter left for college,BackToSchool,School,School,Anticipated,1,2
Oldest child moved out for college,BackToSchool,School,School,Anticipated,1,2
partner started as full time student,BackToSchool,School,School,Anticipated,1,2
Began work socializing program,BackToWork,Work,Work,Anticipated,2,3
first day at new job,BackToWork,Work,Work,Anticipated,2,3
"maternity leave, return to work",BackToWork,Work,Work,Anticipated,2,3
New job - freelance,BackToWork,Work,Work,Anticipated,2,3
Returned to work after a long time,BackToWork,Work,Work,Anticipated,2,3
2019 Polar Vortex,BadWeather,Local,Local,Unanticipated,1,1
AC broke - excessive heat,BadWeather,Local,Local,Unanticipated,1,1
Below 0 temps-polar vortex,BadWeather,Local,Local,Unanticipated,1,1
bitter cold - pipes in house froze,BadWeather,Local,Local,Unanticipated,1,1
Bizzard,BadWeather,Local,Local,Unanticipated,1,1
Blizard - had to work from home for a week.,BadWeather,Local,Local,Unanticipated,1,1
Blizzard,BadWeather,Local,Local,Unanticipated,1,1
Blizzard and Artic Blast,BadWeather,Local,Local,Unanticipated,1,1
Blizzard/bomb cyclone,BadWeather,Local,Local,Unanticipated,1,1
Blizzard/Ice Storm,BadWeather,Local,Local,Unanticipated,1,1
Bomb cyclone,BadWeather,Local,Local,Unanticipated,1,1
chicago polar vortex,BadWeather,Local,Local,Unanticipated,1,1
Cold Advisory/State closed,BadWeather,Local,Local,Unanticipated,1,1
cold days,BadWeather,Local,Local,Unanticipated,1,1
Cold weather,BadWeather,Local,Local,Unanticipated,1,1
excessive heat and humidity Summer 2018,BadWeather,Local,Local,Unanticipated,1,1
extreme cold,BadWeather,Local,Local,Unanticipated,1,1
Extreme Cold,BadWeather,Local,Local,Unanticipated,1,1
Extreme cold,BadWeather,Local,Local,Unanticipated,1,1
extreme cold weather,BadWeather,Local,Local,Unanticipated,1,1
extreme cold1,BadWeather,Local,Local,Unanticipated,1,1
Fires - Smoke,BadWeather,Local,Local,Unanticipated,1,1
Flood,BadWeather,Local,Local,Unanticipated,1,1
Freeze,BadWeather,Local,Local,Unanticipated,1,1
Heavy snow,BadWeather,Local,Local,Unanticipated,1,1
Hurricane Michael,BadWeather,Local,Local,Unanticipated,1,1
"I moved to Washington, DC in August 2018. I hate summer. The heat and humidity have been very high and it restricts the amount of outdoor activity I can do",BadWeather,Local,Local,Unanticipated,1,1
Ice storm power outage,BadWeather,Local,Local,Unanticipated,1,1
In January of 2019 we experienced severe cold weather and the university closed.,BadWeather,Local,Local,Unanticipated,1,1
Lot of snow,BadWeather,Local,Local,Unanticipated,1,1
Polar Vortex,BadWeather,Local,Local,Unanticipated,1,1
polar vortex,BadWeather,Local,Local,Unanticipated,1,1
Polar vortex,BadWeather,Local,Local,Unanticipated,1,1
Polar Vortex - University closed,BadWeather,Local,Local,Unanticipated,1,1
Tornado event,BadWeather,Local,Local,Unanticipated,1,1
Tornado warning,BadWeather,Local,Local,Unanticipated,1,1
ice storm,BadWeather,Local,Local,Unanticipated,1,1
Extreme winter weather,BadWeather,Local,Local,Unanticipated,1,1
Extremely low temps,BadWeather,Local,Local,Unanticipated,1,1
snow days,BadWeather,Local,Local,Unanticipated,1,1
blizzard,BadWeather,Local,Local,Unanticipated,1,1
blizzard,BadWeather,Local,Local,Unanticipated,1,1
Winter Vortex,BadWeather,Local,Local,Unanticipated,1,1
Polar Vortex and extreme cold,BadWeather,Local,Local,Unanticipated,1,1
Blizzard / Work Closure,BadWeather,Local,Local,Unanticipated,1,1
weather,BadWeather,Local,Local,Unanticipated,1,1
Began to have doubts about management,BadWorkLife,Work,Work,Unanticipated,3,3
Change of Admin to shitty leaders,BadWorkLife,Work,Work,Unanticipated,3,3
Co-worker Conflict,BadWorkLife,Work,Work,Unanticipated,3,3
Conditions at work deteriorated,BadWorkLife,Work,Work,Unanticipated,3,3
Conditions at work got much worse,BadWorkLife,Work,Work,Unanticipated,3,3
Disagreement on feature release,BadWorkLife,Work,Work,Unanticipated,3,3
Fight with Boss,BadWorkLife,Work,Work,Unanticipated,3,3
"Given more responsibilities in my job, which made me realize I don't want to work in this job anymore",BadWorkLife,Work,Work,Unanticipated,3,3
Got in trouble at work,BadWorkLife,Work,Work,Unanticipated,3,3
Had conflict with a boss or coworker,BadWorkLife,Work,Work,Unanticipated,3,3
Had conflict with coworkers reporting to me,BadWorkLife,Work,Work,Unanticipated,3,3
Had to fire somebody,BadWorkLife,Work,Work,Unanticipated,3,3
I quit my job,BadWorkLife,Work,Work,Unanticipated,3,3
Important Tech Issue that cause high level stress,BadWorkLife,Work,Work,Unanticipated,3,3
inadvertently soured relationship with another department and attempts to mend the situation have failed,BadWorkLife,Work,Work,Unanticipated,3,3
Mentor a difficult person,BadWorkLife,Work,Work,Unanticipated,3,3
No promotion,BadWorkLife,Work,Work,Unanticipated,3,3
old manager said i had an attitude problem,BadWorkLife,Work,Work,Unanticipated,3,3
Other employees were hired at higher position than me that had less knowledge than me.,BadWorkLife,Work,Work,Unanticipated,3,3
Received borderline poor performance review,BadWorkLife,Work,Work,Unanticipated,3,3
Stressed about a coworker leaving,BadWorkLife,Work,Work,Unanticipated,3,3
Boss thought i was constantly lying,BossTrouble,Work,Work,Unanticipated,3,3
Challenging relationship with boss,BossTrouble,Work,Work,Unanticipated,3,3
Company founder left the business,BossTrouble,Work,Work,Unanticipated,3,3
Conflict with boss,BossTrouble,Work,Work,Unanticipated,3,3
Conflict with Boss,BossTrouble,Work,Work,Unanticipated,3,3
Conflict with coworker,BossTrouble,Work,Work,Unanticipated,3,3
conflict with coworker,BossTrouble,Work,Work,Unanticipated,3,3
Company winter event,BreakFromWork,Work,Work,Anticipated,2,3
Time Off For Holidays,BreakFromWork,Work,Work,Anticipated,2,3
Went on FMLA Leave,BreakFromWork,Work,Work,Anticipated,2,3
went part-time at work,BreakFromWork,Work,Work,Anticipated,2,3
Break up,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
break up,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Breakup,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Breakup with significant other,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with Boyfriend,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with boyfriend,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with boyfriend (got back together five days later),BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with friends,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with my boyfriend,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Broke up with partner,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Cut off a friend / alcoholic,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
partner got an STD and we broke up,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
"Personal relationship ""breakup""",BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Relationship break up,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
Ended a significant relationship and my dog died,BreakUp,Personal,LoveAndMarriage,Unanticipated,3,2
"Changed church, moved into a new home with pets, and broke up with some friends",BrokenFriendship,Personal,SocialActivities,Unanticipated,3,2
Dad died,BrokenFriendship,Personal,SocialActivities,Unanticipated,3,2
Lost contact of recent BFF,BrokenFriendship,Personal,SocialActivities,Unanticipated,3,2
"My best friend Jim (he had been helping me remodel my home since 2006) basically dropped out of my life when he found out that I was having Lowes do my kitchen.  I paid my friend (against his wishes but he needed the cash) to work on my home - but I was tired of it taking forever to get done so I went to Lowes to get the kitchen finished in a matter of months rather than years.  He didn't say it hurt his feelings, but he suddenly stopped really being ""present""?  I had to go out of my way to have contact.  His birthday is Jan 14, we arranged to go out to eat on 2/14/19 because his SO was going to a concert in Indy.  I spoke to him about the house and my job situation and he got really animated about how I needed to quit my job and move; along with getting really loud.  The next (and last outside of work - he works in a dept that I was in before OIT) I had with him was 3/31/19 - he came over to help me lift Kye (my 90# dog) into the van so I could take him to the Emergency Vet to have him put to sleep.",BrokenFriendship,Personal,SocialActivities,Unanticipated,3,2
Started building a house,BuildHome,Personal,Residence,Anticipated,2,2
Building second home,BuildHome,Personal,Residence,Anticipated,2,2
Bought a house,BuildHome,Personal,Residence,Anticipated,2,2
Bought a house,BuildHome,Personal,Residence,Anticipated,2,2
Purchased new house,BuildHome,Personal,Residence,Anticipated,2,2
New home purchase,BuildHome,Personal,Residence,Anticipated,2,2
Purchased / Sold Home,BuildHome,Personal,Residence,Anticipated,2,2
"Became pregnant, birth of a first or later child; adopted a child",ChildBirth,Personal,HavingChildren,Anticipated,2,2
birth of a child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of a child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
birth of child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth Of Child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of Child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of Chile,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of first child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
birth of grandchild,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of Granddaughter,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of my daughter,ChildBirth,Personal,HavingChildren,Anticipated,2,2
birth of niece,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of Son,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Child was in NICU after being born,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Found out I had a nephew on the way,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Off work for new child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
paternity leave,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Pregnancy/ new baby,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Birth of first Child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Parental leave from birth of child,ChildBirth,Personal,HavingChildren,Anticipated,2,2
Bereavement leave,DeathInFamily,Personal,Family,Unanticipated,2,2
Death of aunt,DeathInFamily,Personal,Family,Unanticipated,2,2
death of family member,DeathInFamily,Personal,Family,Unanticipated,2,2
Death of father,DeathInFamily,Personal,Family,Unanticipated,2,2
Death of grandma,DeathInFamily,Personal,Family,Unanticipated,2,2
death of loved one,DeathInFamily,Personal,Family,Unanticipated,2,2
Doris's Funeral,DeathInFamily,Personal,Family,Unanticipated,2,2
Family death,DeathInFamily,Personal,Family,Unanticipated,2,2
Father died,DeathInFamily,Personal,Family,Unanticipated,2,2
Funeral,DeathInFamily,Personal,Family,Unanticipated,2,2
"Grandma died   (the previous personal event is wrong date, it should be april 2018 - i messed up and can't go back)",DeathInFamily,Personal,Family,Unanticipated,2,2
Grandma's funeral,DeathInFamily,Personal,Family,Unanticipated,2,2
grandpa died,DeathInFamily,Personal,Family,Unanticipated,2,2
Hospitalizations and Dealth of a family member,DeathInFamily,Personal,Family,Unanticipated,2,2
loss of family member,DeathInFamily,Personal,Family,Unanticipated,2,2
loss of father-in-law,DeathInFamily,Personal,Family,Unanticipated,2,2
Memorial service for mother,DeathInFamily,Personal,Family,Unanticipated,2,2
Mother passed away,DeathInFamily,Personal,Family,Unanticipated,2,2
Mother-in-law died,DeathInFamily,Personal,Family,Unanticipated,2,2
Multiple Deaths in family within 1 week,DeathInFamily,Personal,Family,Unanticipated,2,2
Sister passed away,DeathInFamily,Personal,Family,Unanticipated,2,2
vacation / someone died,DeathInFamily,Personal,Family,Unanticipated,2,2
death of sibling,DeathInFamily,Personal,Family,Unanticipated,2,2
death of close family member,DeathInFamily,Personal,Family,Unanticipated,2,2
death,DeathInFamily,Personal,Family,Unanticipated,2,2
My dad passed away after a lengthy illness with Alzheimers,DeathInFamily,Personal,Family,Unanticipated,2,2
sickness/death of loved on,DeathInFamily,Personal,Family,Unanticipated,2,2
Wife's cousin funeral,DeathInFamily,Personal,Family,Unanticipated,2,2
Divorce,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Divorce Settlement,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Divorce started,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Finalization of divorce,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Parents Divorced,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Separation,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Divorce Filed by spouse,Divorce,Personal,LoveAndMarriage,Anticipated,3,2
Took a break from photography hobby,DroppedHobby,Personal,SocialActivities,Anticipated,2,3
Engaged,Engaged,Personal,LoveAndMarriage,Anticipated,2,2
Engagement,Engaged,Personal,LoveAndMarriage,Anticipated,2,2
Got engaged,Engaged,Personal,LoveAndMarriage,Anticipated,2,2
replacement hired,Expansion,Work,Work,Anticipated,1,1
Hired new team,Expansion,Work,Work,Anticipated,1,1
New Team at Work,Expansion,Work,Work,Anticipated,1,1
infertility,FertilityIssue,Personal,HavingChildren,Unanticipated,3,3
Infertility,FertilityIssue,Personal,HavingChildren,Unanticipated,3,3
Car died suddenly/emergency need to get a new car,FinancialLoss,Financial,Financial,Unanticipated,3,2
diverticulitises,FinancialLoss,Financial,Financial,Unanticipated,3,2
divestiture,FinancialLoss,Financial,Financial,Unanticipated,3,2
Financial Loss in Stocks,FinancialLoss,Financial,Financial,Unanticipated,3,2
Forced to sell grandparents home at auction,FinancialLoss,Financial,Financial,Unanticipated,3,2
Large payment for kids dance classes,FinancialLoss,Financial,Financial,Unanticipated,3,2
Loan for vet bills,FinancialLoss,Financial,Financial,Unanticipated,3,2
Owned much larger amount of tax than expected,FinancialLoss,Financial,Financial,Unanticipated,3,2
struggle with money at end of every month,FinancialLoss,Financial,Financial,Unanticipated,3,2
Tree Crashed into house,FinancialLoss,Financial,Financial,Unanticipated,3,2
old truck died (bought new one),FinancialLoss,Financial,Financial,Unanticipated,3,2
Financial issue,FinancialLoss,Financial,Financial,Unanticipated,3,2
Struggled with financial bills,FinancialLoss,Financial,Financial,Unanticipated,3,2
Spouse was unemployed,FinancialLoss,Financial,Financial,Unanticipated,3,2
Air conditioner stopped working,FinancialLoss,Financial,Financial,Unanticipated,3,2
Lynne's Surgery Bill,FinancialLoss,Financial,Financial,Unanticipated,3,2
Paid off 2 vehicles and refinanced one to pay off high interest credit cards,FinancialLoss,Financial,Financial,Unanticipated,3,2
Heavy rainfall causing roof damages,FinancialLoss,Financial,Financial,Unanticipated,3,2
rain storm caused flooded basement,FinancialLoss,Financial,Financial,Unanticipated,3,2
Child to College,FinishedSchool,School,School,Anticipated,1,2
Child's Graduation,FinishedSchool,School,School,Anticipated,1,2
HELOC to finish Barn,FinishedSchool,School,School,Anticipated,1,2
kids out of school,FinishedSchool,School,School,Anticipated,1,2
Coworker fired,Fired,Work,Work,Unanticipated,3,3
Doris's Funeral,FriendDied,Personal,SocialActivities,Unanticipated,2,2
lost a friend/significant other,FriendDied,Personal,SocialActivities,Unanticipated,2,2
Death of a friend,FriendDied,Personal,SocialActivities,Unanticipated,2,2
death of Stephen Hawking,FriendDied,Personal,SocialActivities,Unanticipated,2,2
Death of high school friend,FriendDied,Personal,SocialActivities,Unanticipated,2,2
death of Alan Bean,FriendDied,Personal,SocialActivities,Unanticipated,2,2
Regained custody of children,GainedChildCustody,Personal,HavingChildren,Unanticipated,3,2
changed to working mid shifts rather than nights and only working 2 shifts a week,GoodWorkLife,Work,Work,Anticipated,1,1
Reduced workload,GoodWorkLife,Work,Work,Anticipated,1,1
Work Balance,GoodWorkLife,Work,Work,Anticipated,1,1
bonus,GotBonus,Work,Work,Unanticipated,3,3
Bonus,GotBonus,Work,Work,Unanticipated,3,3
Bonus - Stocks,GotBonus,Work,Work,Unanticipated,3,3
"Bonus, pay raise",GotBonus,Work,Work,Unanticipated,3,3
Bonus/Raise,GotBonus,Work,Work,Unanticipated,3,3
bonuses,GotBonus,Work,Work,Unanticipated,3,3
Bonuses,GotBonus,Work,Work,Unanticipated,3,3
Bonuses - Stocks,GotBonus,Work,Work,Unanticipated,3,3
end of year bonus received,GotBonus,Work,Work,Unanticipated,3,3
given a raise  for my performance,GotBonus,Work,Work,Unanticipated,3,3
Got a significant salary increase,GotBonus,Work,Work,Unanticipated,3,3
increase in wage,GotBonus,Work,Work,Unanticipated,3,3
Pay Increase,GotBonus,Work,Work,Unanticipated,3,3
Pay Increase and Bonus,GotBonus,Work,Work,Unanticipated,3,3
Pay Raise,GotBonus,Work,Work,Unanticipated,3,3
Performance Bonus,GotBonus,Work,Work,Unanticipated,3,3
Raise & bonus smaller than expected,GotBonus,Work,Work,Unanticipated,3,3
Raise and Bonus,GotBonus,Work,Work,Unanticipated,3,3
Raise in salary,GotBonus,Work,Work,Unanticipated,3,3
Received bonus,GotBonus,Work,Work,Unanticipated,3,3
received bonus,GotBonus,Work,Work,Unanticipated,3,3
Stock Bonus,GotBonus,Work,Work,Unanticipated,3,3
"Wage increase, no promotion",GotBonus,Work,Work,Unanticipated,3,3
Work Bonus,GotBonus,Work,Work,Unanticipated,3,3
Received a very nice bonus,GotBonus,Work,Work,Unanticipated,3,3
Diet,HealthGain,Health,Health,Anticipated,2,3
health improved,HealthGain,Health,Health,Anticipated,2,3
Health Improvements,HealthGain,Health,Health,Anticipated,2,3
lost 20 lbs,HealthGain,Health,Health,Anticipated,2,3
Lost weight,HealthGain,Health,Health,Anticipated,2,3
physical health improve,HealthGain,Health,Health,Anticipated,2,3
physical health improved - increased activity,HealthGain,Health,Health,Anticipated,2,3
Stopped drinking,HealthGain,Health,Health,Anticipated,2,3
weight loss,HealthGain,Health,Health,Anticipated,2,3
Wisdom teeth removed,HealthGain,Health,Health,Anticipated,2,3
Started the keto diet,HealthGain,Health,Health,Anticipated,2,3
better health,HealthGain,Health,Health,Anticipated,2,3
Anxiety,HealthLoss,Health,Health,Unanticipated,2,3
Back injury,HealthLoss,Health,Health,Unanticipated,2,3
Back pain,HealthLoss,Health,Health,Unanticipated,2,3
broken wrist,HealthLoss,Health,Health,Unanticipated,2,3
Climbed a 14er on my birthday and got extreme altitude sickness (10 hrs of being sick)),HealthLoss,Health,Health,Unanticipated,2,3
colonoscopy 4 polyps,HealthLoss,Health,Health,Unanticipated,2,3
Hospitalizations and Dealth of a family member,HealthLoss,Health,Health,Unanticipated,2,3
Hurt Knee,HealthLoss,Health,Health,Unanticipated,2,3
injured knee,HealthLoss,Health,Health,Unanticipated,2,3
Injured my back,HealthLoss,Health,Health,Unanticipated,2,3
